title,address,price,Bedrooms,Bathrooms,Parking,Capacity,Price
Cooming Soon Ubu Villa Little Haven,"Jl. Kaliurang No.KM 19, RW.5, Gambiran, Pakembinangun, Kec. Pakem, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55582",Start from Rp.1.300.000,2,2,Yes,4,1300000.0
Ubu Villa Sujiva,"Jl Jogopaten, Pandowoharjo, Kec. Sleman, Kabupaten Sleman, Daerah Istimewa Yogyakarta, Sleman, Daerah Istimewa Yogyakarta 55581",Start from Rp.900.000,1,1,Yes,2,900000.0
Ubu Villa Redwood,"Donomulyo, Donokerto, Kec. Turi, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55551",Start from Rp.1.300.000,2,3,Yes,4,1300000.0
Ubu Villa Amarta,"Jl. Karangtanjung, Karang Kepuh, Pandowoharjo, Sleman, Daerah Istimewa Yogyakarta",Start from Rp.1.400.000,1,1,Yes,2,1400000.0
Ubu Villa Padi's,"Jl. Donoloyo, Jogopaten, Pandowoharjo, Kec. Sleman, Kabupaten Sleman, Daerah Istimewa Yogyakarta",Start from Rp.900.000,1,1,Yes,2,900000.0
Ubu Villa California,"Jl. Panca Marga No.05, RT.05/RW.22, Jatirejo, Sendangadi, Kec. Mlati, Kabupaten Sleman, Daerah Istimewa Yogyakarta",Start from Rp.1.400.000,2,2,Yes,4,1400000.0
Ubu Villa Nara,"Pencar Sari, Sardonoharjo, Kec. Ngaglik, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55581",Start from Rp.900.000,1,1,Yes,2,900000.0
Ubu Villa Amara,"Jl. Kembangan - Rejodani Jl. Bulus Lor No.1, Bulus I, Candibinangun, Kec. Pakem, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55581",Start from Rp.900.000,1,1,Yes,2,900000.0
Ubu Villa Alston,"Sanggrahan Jl. Raya Pringgodani No.477, RT.04/RW.34, Malangrejo, Wedomartani, Kec. Ngemplak, Kabupaten Sleman, Daerah Istimewa Yogyakarta",Start from Rp.1.400.000,2,2,Yes,4,1400000.0
Ubu Villa Kinanthi,"Donomulyo, Donokerto, Kec. Turi, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55551",Start from Rp.900.000,2,1,Yes,2,900000.0
Ubu Villa  Ndalem Etnik,"Gg. Melati No.123, Mantrijeron, Kec. Mantrijeron, Kota Yogyakarta, Daerah Istimewa Yogyakarta",Start from Rp.1.000.000,1,1,Yes,2,1000000.0
Ubu Villa Marrakech,"Jl. Kabupaten No.17, Salakan, Trihanggo, Kec. Gamping,, Sleman, Daerah Istimewa Yogyakarta 55591",Start from Rp.1.400.000,2,2,Yes,4,1400000.0
Ubu Villa Coconut,"Jl. Pandhawa, Tegal Rejo, Sariharjo, Kec. Ngaglik, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55581",Start from Rp.900.000,1,1,Yes,2,900000.0
Ubu Villa Tropicola,"Jl. Kapulogo Nologaten, Nologaten, Caturtunggal, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281",Start from Rp.2.100.000,3,4,Yes,6,2100000.0
Ubu Villa Prambanan,"Jl. Pulerejo, Kranggan, Bokoharjo, Kec. Prambanan, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55572",Start from Rp.1.900.000,3,3,Yes,6,1900000.0
Ubu Villa Blekik,"Pencar Sari, Sardonoharjo, Ngaglik, Sleman Regency, Special Region of Yogyakarta 55581",Start from Rp.1.900.000,2,2,Yes,4,1900000.0
Ubu Villa Balirejo,"Jl. Balirejo no.2, RT 021/007, Kel.Muja-Muju, Kec.Umbulherjo, Kota Yogyakarta",Start from Rp.1.900.000,3,3,Yes,6,1900000.0
Ubu Villa Gito Gati,"Jl. Griya Taman Asri, Berkisan, Pandowoharjo, Kec. Sleman, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55512",Start from Rp.2.600.000,4,5,Yes,8,2600000.0
Ubu Villa Donolayan,"Jl. Palagan Tentara Pelajar No.Km 11, Donolayan, Donoharjo, Kec. Ngaglik, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55581",Start from Rp.1.900.000,4,5,Yes,8,1900000.0
Dalem jongke By Ubu Villa,"Jln Jongke Tengah, Sendangadi, Mlati, Sleman, DIY",Start from Rp.3.150.000,5/9,9,Yes,10/18,3150000.0
Ubu Villa Pulowatu 1,"Jln Pulowatu, Bunder, Purwobinagun, Pakem Sleman DIY",Start from Rp.900.000,1,1,Yes,2,900000.0
Ubu Villa Pulowatu 2,"Jln Pulowatu, Bunder, Purwobinagun, Pakem Sleman DIY",Start from Rp.2.400.000,4,4,Yes,8,2400000.0
Ubu Villa Pulowatu 3,"Jln Pulowatu, Bunder, Purwobinagun, Pakem Sleman DIY",Start from Rp.1.900.000,3,3,Yes,6,1900000.0
