typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
"C","M","20240801","2024","8","202408","28","ATG","Antigua and Barbuda","M","Import","0","W00","World","0","W00","World","H3","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","14","false","5","u","14","false","167.88","false","0","false","11195.833",,"11195.833","0","false","true",
"C","M","20240801","2024","8","202408","31","AZE","Azerbaijan","M","Import","0","W00","World","0","W00","World","H6","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","4053.574","false","0","false","674971.39",,"674971.39","0","false","true",
"C","M","20240801","2024","8","202408","31","AZE","Azerbaijan","X","Export","0","W00","World","0","W00","World","H6","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","6","false","5","u","6","false","11.5","false","0","false",,"27229.29","27229.29","0","false","true",
"C","M","20240801","2024","8","202408","32","ARG","Argentina","M","Import","0","W00","World","0","W00","World","H6","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","true","-1","N/A","0","false","139618.77","false","0","false","12972374.86","12631671.21","12972374.86","2","false","true",
"C","M","20240801","2024","8","202408","32","ARG","Argentina","X","Export","0","W00","World","0","W00","World","H6","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","11","false","5","u","11","false","56.4","false","0","false",,"17503.29","17503.29","0","false","true",
"C","M","20240801","2024","8","202408","36","AUS","Australia","M","Import","0","W00","World","0","W00","World","H6","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","true","-1","N/A","0","false",,"false","0","false","35500074.214","35169045.935","35500074.214","2","false","true",
"C","M","20240801","2024","8","202408","36","AUS","Australia","X","Export","0","W00","World","0","W00","World","H6","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false",,"false","37.19","false",,"8068037.143","8068037.143","0","false","true",
"C","M","20240801","2024","8","202408","51","ARM","Armenia","M","Import","0","W00","World","0","W00","World","H6","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","38263","false","5","u","38263","false","106.502","true","0","false","57010.79",,"57010.79","4","false","true",
"C","M","20240801","2024","8","202408","52","BRB","Barbados","M","Import","0","W00","World","0","W00","World","H6","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","217","false","0","false","25132",,"25132","0","false","true",
"C","M","20240801","2024","8","202408","56","BEL","Belgium","M","Import","0","W00","World","0","W00","World","H6","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","309961.231","true","0","false","187310419.565",,"187310419.565","4","false","true",
"C","M","20240801","2024","8","202408","56","BEL","Belgium","X","Export","0","W00","World","0","W00","World","H6","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","515854.744","true","0","false",,"156837186.087","156837186.087","4","false","true",
"C","M","20240801","2024","8","202408","68","BOL","Bolivia (Plurinational State of)","M","Import","0","W00","World","0","W00","World","H6","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false",,"false","2283","false","44338","39839","44338","0","false","true",
"C","M","20240801","2024","8","202408","68","BOL","Bolivia (Plurinational State of)","X","Export","0","W00","World","0","W00","World","H6","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0.56","false","2.24","false",,"1102.95","1102.95","0","false","true",
"C","M","20240801","2024","8","202408","70","BIH","Bosnia Herzegovina","M","Import","0","W00","World","0","W00","World","H6","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","1681.66","false","0","false","734070.772",,"734070.772","0","false","true",
"C","M","20240801","2024","8","202408","70","BIH","Bosnia Herzegovina","X","Export","0","W00","World","0","W00","World","H6","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","1071.98","false","0","false",,"175946.698","175946.698","0","false","true",
"C","M","20240801","2024","8","202408","76","BRA","Brazil","M","Import","0","W00","World","0","W00","World","H6","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","true","-1","N/A","0","false","251244.763","true","0","false","597809886","594421875","597809886","6","false","true",
"C","M","20240801","2024","8","202408","76","BRA","Brazil","X","Export","0","W00","World","0","W00","World","H6","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","1252.403","true","0","false",,"4061757","4061757","4","false","true",
"C","M","20240801","2024","8","202408","84","BLZ","Belize","M","Import","0","W00","World","0","W00","World","H6","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","41.84","false","0","false","6861.32",,"6861.32","0","false","true",
"C","M","20240801","2024","8","202408","100","BGR","Bulgaria","M","Import","0","W00","World","0","W00","World","H6","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","73993.533","true","0","false","33978393.629",,"33978393.629","4","false","true",
"C","M","20240801","2024","8","202408","100","BGR","Bulgaria","X","Export","0","W00","World","0","W00","World","H6","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","42828.179","true","0","false",,"47674469.468","47674469.468","4","false","true",
"C","M","20240801","2024","8","202408","104","MMR","Myanmar","M","Import","0","W00","World","0","W00","World","H6","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","141","false","5","u","141","false",,"false","0","false","5705.89",,"5705.89","0","false","true",
"C","M","20240801","2024","8","202408","124","CAN","Canada","M","Import","0","W00","World","0","W00","World","H6","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false",,"false","0","false",,"105561717.569","105561717.569","0","false","true",
"C","M","20240801","2024","8","202408","124","CAN","Canada","X","Export","0","W00","World","0","W00","World","H6","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false",,"false","0","false",,"40530239.089","40530239.089","0","false","true",
