typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
"C","M","20241201","2024","12","202412","28","ATG","Antigua and Barbuda","M","Import","0","W00","World","0","W00","World","H3","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","86","false","5","u","86","false","496.01","false","0","false","4576.174",,"4576.174","0","false","true",
"C","M","20241201","2024","12","202412","31","AZE","Azerbaijan","M","Import","0","W00","World","0","W00","World","H6","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","717313","false","5","u","717313","false","3390.979","false","0","false","965945.55",,"965945.55","0","false","true",
"C","M","20241201","2024","12","202412","31","AZE","Azerbaijan","X","Export","0","W00","World","0","W00","World","H6","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","446","false","5","u","446","false","8.38","false","0","false",,"1184.82","1184.82","0","false","true",
"C","M","20241201","2024","12","202412","32","ARG","Argentina","M","Import","0","W00","World","0","W00","World","H6","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","179896.484","false","0","false","21602638.9","21117660.01","21602638.9","0","false","true",
"C","M","20241201","2024","12","202412","36","AUS","Australia","M","Import","0","W00","World","0","W00","World","H6","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","true","-1","N/A","0","false",,"false","0","false","49759505.512","49331159.166","49759505.512","2","false","true",
"C","M","20241201","2024","12","202412","36","AUS","Australia","X","Export","0","W00","World","0","W00","World","H6","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false",,"false","11.21","false",,"4857159.17","4857159.17","0","false","true",
"C","M","20241201","2024","12","202412","51","ARM","Armenia","M","Import","0","W00","World","0","W00","World","H6","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","30922","false","5","u","30922","false","65.024","true","0","false","84757.07",,"84757.07","4","false","true",
"C","M","20241201","2024","12","202412","52","BRB","Barbados","M","Import","0","W00","World","0","W00","World","H6","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","162","false","0","false","19538",,"19538","0","false","true",
"C","M","20241201","2024","12","202412","56","BEL","Belgium","M","Import","0","W00","World","0","W00","World","H6","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","190357.469","true","0","false","337457104.251",,"337457104.251","4","false","true",
"C","M","20241201","2024","12","202412","56","BEL","Belgium","X","Export","0","W00","World","0","W00","World","H6","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","513163.377","true","0","false",,"182490350.745","182490350.745","4","false","true",
"C","M","20241201","2024","12","202412","68","BOL","Bolivia (Plurinational State of)","M","Import","0","W00","World","0","W00","World","H6","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false",,"false","2103","false","56516","52858","56516","0","false","true",
