typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
"C","M","20240201","2024","2","202402","24","AGO","Angola","M","Import","0","W00","World","0","W00","World","H5","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false",,"false","0","false","120794.091","113016.759","120794.091","0","false","true",
"C","M","20240201","2024","2","202402","24","AGO","Angola","X","Export","0","W00","World","0","W00","World","H5","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","6014","false","0","false",,"34966.83","34966.83","0","false","true",
"C","M","20240201","2024","2","202402","28","ATG","Antigua and Barbuda","M","Import","0","W00","World","0","W00","World","H3","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","17","false","5","u","17","false","733.71","false","0","false","12760.681",,"12760.681","0","false","true",
"C","M","20240201","2024","2","202402","31","AZE","Azerbaijan","M","Import","0","W00","World","0","W00","World","H6","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","442.988","false","0","false","291022.41",,"291022.41","0","false","true",
"C","M","20240201","2024","2","202402","31","AZE","Azerbaijan","X","Export","0","W00","World","0","W00","World","H6","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","14.6","false","0","false",,"1388.37","1388.37","0","false","true",
"C","M","20240201","2024","2","202402","32","ARG","Argentina","M","Import","0","W00","World","0","W00","World","H6","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","true","-1","N/A","0","false","79705.105","false","0","false","10445779.13","10254722.5","10445779.13","2","false","true",
"C","M","20240201","2024","2","202402","36","AUS","Australia","M","Import","0","W00","World","0","W00","World","H6","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false",,"false","0","false","28725232.966","28378021.959","28725232.966","0","false","true",
"C","M","20240201","2024","2","202402","36","AUS","Australia","X","Export","0","W00","World","0","W00","World","H6","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false",,"false","10.697","false",,"5513244.222","5513244.222","0","false","true",
"C","M","20240201","2024","2","202402","51","ARM","Armenia","M","Import","0","W00","World","0","W00","World","H6","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","31983","false","5","u","31983","false","68.951","true","0","false","87064.18",,"87064.18","4","false","true",
"C","M","20240201","2024","2","202402","51","ARM","Armenia","X","Export","0","W00","World","0","W00","World","H6","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","13525","false","5","u","13525","false","9.65","false","0","false",,"404538.69","404538.69","0","false","true",
"C","M","20240201","2024","2","202402","52","BRB","Barbados","M","Import","0","W00","World","0","W00","World","H6","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","309.004","true","0","false","8775",,"8775","4","false","true",
"C","M","20240201","2024","2","202402","56","BEL","Belgium","M","Import","0","W00","World","0","W00","World","H6","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","433746.536","true","0","false","230460302.216",,"230460302.216","4","false","true",
"C","M","20240201","2024","2","202402","56","BEL","Belgium","X","Export","0","W00","World","0","W00","World","H6","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","596371.888","true","0","false",,"189336578.804","189336578.804","4","false","true",
"C","M","20240201","2024","2","202402","68","BOL","Bolivia (Plurinational State of)","M","Import","0","W00","World","0","W00","World","H6","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","117.201","true","2907","false","195266","188368","195266","4","false","true",
"C","M","20240201","2024","2","202402","68","BOL","Bolivia (Plurinational State of)","X","Export","0","W00","World","0","W00","World","H6","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0.39","false","1.61","false",,"2976.92","2976.92","0","false","true",
"C","M","20240201","2024","2","202402","70","BIH","Bosnia Herzegovina","M","Import","0","W00","World","0","W00","World","H6","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","2272.01","false","0","false","736489.894",,"736489.894","0","false","true",
"C","M","20240201","2024","2","202402","70","BIH","Bosnia Herzegovina","X","Export","0","W00","World","0","W00","World","H6","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","2250.68","false","0","false",,"310807.687","310807.687","0","false","true",
