typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
"C","M","20240101","2024","1","202401","20","AND","Andorra","M","Import","0","W00","World","0","W00","World","H6","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","215.88","false","0","false","255884.334",,"255884.334","0","false","true",
"C","M","20240101","2024","1","202401","24","AGO","Angola","M","Import","0","W00","World","0","W00","World","H5","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false",,"false","0","false","318982.067","308398.14","318982.067","0","false","true",
"C","M","20240101","2024","1","202401","24","AGO","Angola","X","Export","0","W00","World","0","W00","World","H5","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","27","false","0","false",,"5399.994","5399.994","0","false","true",
"C","M","20240101","2024","1","202401","28","ATG","Antigua and Barbuda","M","Import","0","W00","World","0","W00","World","H3","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","79","false","5","u","79","false","382.91","false","0","false","5330.14",,"5330.14","0","false","true",
"C","M","20240101","2024","1","202401","31","AZE","Azerbaijan","M","Import","0","W00","World","0","W00","World","H6","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","325.181","false","0","false","142920.2",,"142920.2","0","false","true",
"C","M","20240101","2024","1","202401","31","AZE","Azerbaijan","X","Export","0","W00","World","0","W00","World","H6","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","8","false","5","u","8","false","2.5","false","0","false",,"3287.25","3287.25","0","false","true",
"C","M","20240101","2024","1","202401","32","ARG","Argentina","M","Import","0","W00","World","0","W00","World","H6","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","79560.318","false","0","false","12078680.17","11869497.99","12078680.17","0","false","true",
"C","M","20240101","2024","1","202401","36","AUS","Australia","M","Import","0","W00","World","0","W00","World","H6","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","true","-1","N/A","0","false",,"false","0","false","31579568.372","31240132.32","31579568.372","2","false","true",
"C","M","20240101","2024","1","202401","36","AUS","Australia","X","Export","0","W00","World","0","W00","World","H6","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false",,"false","35.427","false",,"5540233.472","5540233.472","0","false","true",
"C","M","20240101","2024","1","202401","51","ARM","Armenia","M","Import","0","W00","World","0","W00","World","H6","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","17321","false","5","u","17321","false","28.781","true","0","false","22637.91",,"22637.91","4","false","true",
"C","M","20240101","2024","1","202401","52","BRB","Barbados","M","Import","0","W00","World","0","W00","World","H6","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","315.583","true","0","false","10074",,"10074","4","false","true",
"C","M","20240101","2024","1","202401","56","BEL","Belgium","M","Import","0","W00","World","0","W00","World","H6","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","619920.908","true","0","false","568533554.855",,"568533554.855","4","false","true",
"C","M","20240101","2024","1","202401","56","BEL","Belgium","X","Export","0","W00","World","0","W00","World","H6","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","696418.744","true","0","false",,"210227452.126","210227452.126","4","false","true",
"C","M","20240101","2024","1","202401","68","BOL","Bolivia (Plurinational State of)","M","Import","0","W00","World","0","W00","World","H6","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false",,"false","0","false","176239","168884","176239","0","false","true",
"C","M","20240101","2024","1","202401","68","BOL","Bolivia (Plurinational State of)","X","Export","0","W00","World","0","W00","World","H6","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","7.01","false","8.89","false",,"2782.57","2782.57","0","false","true",
"C","M","20240101","2024","1","202401","70","BIH","Bosnia Herzegovina","M","Import","0","W00","World","0","W00","World","H6","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","2028.57","false","0","false","454469.65",,"454469.65","0","false","true",
"C","M","20240101","2024","1","202401","70","BIH","Bosnia Herzegovina","X","Export","0","W00","World","0","W00","World","H6","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","957.91","false","0","false",,"285230.529","285230.529","0","false","true",
"C","M","20240101","2024","1","202401","76","BRA","Brazil","M","Import","0","W00","World","0","W00","World","H6","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","true","-1","N/A","0","false","261445.207","true","0","false","525710850","522285325","525710850","6","false","true",
"C","M","20240101","2024","1","202401","76","BRA","Brazil","X","Export","0","W00","World","0","W00","World","H6","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","true","-1","N/A","0","false","4434.397","true","0","false",,"2613133","2613133","6","false","true",
"C","M","20240101","2024","1","202401","84","BLZ","Belize","M","Import","0","W00","World","0","W00","World","H6","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","1359.04","false","0","false","40949.94",,"40949.94","0","false","true",
"C","M","20240101","2024","1","202401","100","BGR","Bulgaria","M","Import","0","W00","World","0","W00","World","H6","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","48964.273","true","0","false","35645094.48",,"35645094.48","4","false","true",
"C","M","20240101","2024","1","202401","100","BGR","Bulgaria","X","Export","0","W00","World","0","W00","World","H6","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","27465.85","true","0","false",,"53892567.277","53892567.277","4","false","true",
"C","M","20240101","2024","1","202401","104","MMR","Myanmar","M","Import","0","W00","World","0","W00","World","H6","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","30092","false","5","u","30092","false",,"false","0","false","5959.65",,"5959.65","0","false","true",
"C","M","20240101","2024","1","202401","124","CAN","Canada","M","Import","0","W00","World","0","W00","World","H6","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false",,"false","0","false",,"157070757.308","157070757.308","0","false","true",
"C","M","20240101","2024","1","202401","124","CAN","Canada","X","Export","0","W00","World","0","W00","World","H6","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false",,"false","0","false",,"81349025.746","81349025.746","0","false","true",
"C","M","20240101","2024","1","202401","132","CPV","Cabo Verde","M","Import","0","W00","World","0","W00","World","H5","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","30","false","0","false","10716.276","9585.756","10716.276","0","false","true",
"C","M","20240101","2024","1","202401","132","CPV","Cabo Verde","X","Export","0","W00","World","0","W00","World","H5","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","1","false","0","false","251.036","251.036","251.036","0","false","true",
