typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
"C","M","20240501","2024","5","202405","24","AGO","Angola","M","Import","0","W00","World","0","W00","World","H6","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","17304.333","false","0","false","317579.035","298631.396","317579.035","0","false","true",
"C","M","20240501","2024","5","202405","24","AGO","Angola","X","Export","0","W00","World","0","W00","World","H6","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","147.801","false","0","false",,"450.185","450.185","0","false","true",
"C","M","20240501","2024","5","202405","28","ATG","Antigua and Barbuda","M","Import","0","W00","World","0","W00","World","H3","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","8","false","5","u","8","false","206.375","false","0","false","1771.507",,"1771.507","0","false","true",
"C","M","20240501","2024","5","202405","31","AZE","Azerbaijan","M","Import","0","W00","World","0","W00","World","H6","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","2927.419","false","0","false","129110.62",,"129110.62","0","false","true",
"C","M","20240501","2024","5","202405","31","AZE","Azerbaijan","X","Export","0","W00","World","0","W00","World","H6","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","1","false","5","u","1","false","0.1","false","0","false",,"813.02","813.02","0","false","true",
"C","M","20240501","2024","5","202405","32","ARG","Argentina","M","Import","0","W00","World","0","W00","World","H6","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","true","-1","N/A","0","false","131834.561","false","0","false","12312916.96","12106121.3","12312916.96","2","false","true",
"C","M","20240501","2024","5","202405","32","ARG","Argentina","X","Export","0","W00","World","0","W00","World","H6","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","9","false","5","u","9","false","24.89","false","0","false",,"15466.49","15466.49","0","false","true",
"C","M","20240501","2024","5","202405","36","AUS","Australia","M","Import","0","W00","World","0","W00","World","H6","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false",,"false","0","false","33113291.221","32724439.993","33113291.221","0","false","true",
"C","M","20240501","2024","5","202405","36","AUS","Australia","X","Export","0","W00","World","0","W00","World","H6","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false",,"false","340.095","false",,"6660408.4","6660408.4","0","false","true",
"C","M","20240501","2024","5","202405","51","ARM","Armenia","M","Import","0","W00","World","0","W00","World","H6","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","49.136","true","0","false","209616.02",,"209616.02","4","false","true",
"C","M","20240501","2024","5","202405","52","BRB","Barbados","M","Import","0","W00","World","0","W00","World","H6","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","245.088","true","0","false","26967",,"26967","4","false","true",
"C","M","20240501","2024","5","202405","56","BEL","Belgium","M","Import","0","W00","World","0","W00","World","H6","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","357059.581","true","0","false","199884677.547",,"199884677.547","4","false","true",
"C","M","20240501","2024","5","202405","56","BEL","Belgium","X","Export","0","W00","World","0","W00","World","H6","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false",,"false","0","false",,"177358932.754","177358932.754","0","false","true",
"C","M","20240501","2024","5","202405","68","BOL","Bolivia (Plurinational State of)","M","Import","0","W00","World","0","W00","World","H6","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","85.011","true","2447","false","105998","100475","105998","4","false","true",
"C","M","20240501","2024","5","202405","68","BOL","Bolivia (Plurinational State of)","X","Export","0","W00","World","0","W00","World","H6","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","1.61","false","2.68","false",,"4143.65","4143.65","0","false","true",
"C","M","20240501","2024","5","202405","70","BIH","Bosnia Herzegovina","M","Import","0","W00","World","0","W00","World","H6","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","1341.62","false","0","false","753532.51",,"753532.51","0","false","true",
"C","M","20240501","2024","5","202405","70","BIH","Bosnia Herzegovina","X","Export","0","W00","World","0","W00","World","H6","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","1193.91","false","0","false",,"222484.844","222484.844","0","false","true",
