status_id,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
2,150,0,0,150,0,0,0,0,0
4,111,0,0,111,0,0,0,0,0
5,213,0,0,204,9,0,0,0,0
6,217,6,0,211,5,1,0,0,0
9,203,1,0,198,5,0,0,0,0
10,170,9,1,167,3,0,0,0,0
11,210,2,3,202,7,1,0,0,0
12,222,4,0,213,5,4,0,0,0
13,313,4,2,305,6,2,0,0,0
14,209,4,0,200,8,1,0,0,0
15,346,11,0,335,10,1,0,0,0
20,152,2,0,149,3,0,0,0,0
21,234,15,1,221,12,1,0,0,0
22,227,7,1,217,7,2,1,0,0
23,98,0,0,96,0,2,0,0,0
25,102,0,0,100,0,2,0,0,0
29,145,9,0,138,7,0,0,0,0
31,85,0,0,81,2,2,0,0,0
33,92,0,0,85,4,2,1,0,0
34,125,1,0,116,8,1,0,0,0
35,119,4,0,116,3,0,0,0,0
36,293,8,0,281,11,1,0,0,0
38,84,15,13,78,5,1,0,0,0
39,66,11,6,61,4,1,0,0,0
45,275,12,0,260,11,4,0,0,0
47,445,9,0,419,23,3,0,0,0
51,77,11,3,75,2,0,0,0,0
53,100,21,13,95,5,0,0,0,0
61,263,8,0,245,14,4,0,0,0
63,517,32,1,484,26,7,0,0,0
65,66,13,0,65,1,0,0,0,0
66,112,6,0,104,8,0,0,0,0
86,14,3,0,12,2,0,0,0,0
87,293,6,1,275,15,3,0,0,0
88,236,12,0,226,8,1,1,0,0
89,312,10,0,291,18,3,0,0,0
90,24,12,0,24,0,0,0,0,0
92,33,12,0,32,1,0,0,0,0
93,675,10,0,645,29,1,0,0,0
94,737,18,0,697,31,9,0,0,0
95,572,16,0,554,16,2,0,0,0
96,23,7,0,20,3,0,0,0,0
97,266,25,0,250,11,5,0,0,0
101,76,17,0,76,0,0,0,0,0
102,36,11,0,34,2,0,0,0,0
103,19,8,0,18,0,0,1,0,0
104,27,10,0,27,0,0,0,0,0
105,117,2,53,108,9,0,0,0,0
106,146,1,0,145,1,0,0,0,0
107,166,0,13,151,7,0,0,8,0
108,190,0,31,171,0,0,0,19,0
109,217,16,0,213,4,0,0,0,0
110,458,14,0,451,3,4,0,0,0
111,553,15,0,538,12,3,0,0,0
112,203,18,11,190,7,6,0,0,0
113,1005,25,1,979,16,9,1,0,0
115,428,14,0,419,4,5,0,0,0
116,479,17,0,462,10,7,0,0,0
123,109,2,1,104,5,0,0,0,0
124,97,5,0,96,0,1,0,0,0
127,51,11,0,51,0,0,0,0,0
131,295,5,0,295,0,0,0,0,0
132,27,14,0,26,1,0,0,0,0
133,15,11,0,15,0,0,0,0,0
134,16,12,0,16,0,0,0,0,0
135,29,12,0,29,0,0,0,0,0
