,OrderID,Tanggal_Pesanan,Produk,Kategori,Wilayah,Jumlah,Harga_Satuan,Metode_Pembayaran,Diskon,Total_Penjualan,Bulan,Hari_Dalam_Seminggu,Jam_Pesanan
0,1,2025-04-10 16:47:34.301561,Smartphone Terbaru,Elektronik,Jakarta,1,9210715,Credit Card,0.05,8750179.25,2025-04,3,12
1,2,2025-06-26 16:47:34.301561,Keyboard Mekanik,Periferal,Medan,2,2375154,Debit Card,0.05,4512792.6,2025-06,3,12
2,3,2025-03-31 16:47:34.301561,Monitor Curved,Periferal,Surabaya,3,2137478,Debit Card,0.05,6091812.3,2025-03,0,21
3,4,2025-01-12 16:47:34.301561,Laptop Gaming,Elektronik,Medan,3,18243087,Credit Card,0.0,54729261.0,2025-01,6,10
4,5,2025-04-14 16:47:34.301561,Monitor Curved,Periferal,Jakarta,3,2909711,Credit Card,0.0,8729133.0,2025-04,0,17
5,6,2025-03-10 16:47:34.301561,Keyboard Mekanik,Periferal,Jakarta,2,2019715,E-Wallet,0.05,3837458.5,2025-03,0,17
6,7,2025-01-18 16:47:34.301561,Monitor Curved,Periferal,Denpasar,4,4590310,Debit Card,0.0,18361240.0,2025-01,5,18
7,8,2025-04-10 16:47:34.301561,Monitor Curved,Periferal,Jakarta,2,3627687,E-Wallet,0.0,7255374.0,2025-04,3,19
8,9,2025-04-29 16:47:34.301561,Keyboard Mekanik,Periferal,Denpasar,1,1360612,E-Wallet,0.0,1360612.0,2025-04,1,9
9,10,2025-03-13 16:47:34.301561,Laptop Gaming,Elektronik,Denpasar,4,23324454,Credit Card,0.0,93297816.0,2025-03,3,14
10,11,2025-03-26 16:47:34.301561,Smartphone Terbaru,Elektronik,Makassar,3,3427387,Bank Transfer,0.15,8739836.85,2025-03,2,8
11,12,2025-04-24 16:47:34.301561,Smartwatch,Aksesoris,Medan,2,2433731,E-Wallet,0.0,4867462.0,2025-04,3,13
12,13,2025-04-07 16:47:34.301561,Keyboard Mekanik,Periferal,Medan,3,1944613,Bank Transfer,0.0,5833839.0,2025-04,0,13
13,14,2025-04-11 16:47:34.301561,Smartphone Terbaru,Elektronik,Makassar,3,4297638,Debit Card,0.0,12892914.0,2025-04,4,10
14,15,2025-05-29 16:47:34.301561,Headphone Wireless,Aksesoris,Jakarta,1,1143441,Credit Card,0.15,971924.85,2025-05,3,9
15,16,2025-05-08 16:47:34.301561,Smartwatch,Aksesoris,Surabaya,4,935684,Debit Card,0.0,3742736.0,2025-05,3,19
16,17,2025-05-27 16:47:34.301561,Headphone Wireless,Aksesoris,Medan,1,357022,Debit Card,0.0,357022.0,2025-05,1,9
17,18,2025-02-19 16:47:34.301561,Monitor Curved,Periferal,Surabaya,1,4430525,Credit Card,0.05,4208998.75,2025-02,2,21
