temp,clouds_all,hour,is_weekend,traffic_volume
288.28,40,9,0,5545
289.36,75,10,0,4516
289.58,90,11,0,4767
290.13,90,12,0,5026
291.14,75,13,0,4918
291.72,1,14,0,5181
293.17,1,15,0,5584
293.86,1,16,0,6015
294.14,20,17,0,5791
293.1,20,18,0,4770
290.97,20,19,0,3539
289.38,1,20,0,2784
288.61,1,21,0,2361
287.16,1,22,0,1529
285.45,1,23,0,963
284.63,1,0,0,506
283.47,1,1,0,321
281.18,1,2,0,273
281.09,1,3,0,367
279.53,1,4,0,814
278.62,1,5,0,2718
278.23,1,6,0,5673
278.12,1,8,0,6511
282.48,1,9,0,5471
291.97,1,12,0,5097
293.23,1,13,0,4887
294.31,1,14,0,5337
295.17,1,15,0,5692
295.13,1,16,0,6137
293.66,20,18,0,4623
290.65,20,19,0,3591
288.19,20,20,0,2898
287.1,1,21,0,2637
286.25,1,22,0,1777
285.26,1,23,0,1015
284.55,1,0,0,598
283.47,1,1,0,369
283.17,1,2,0,312
282.04,1,3,0,367
281.69,1,4,0,835
281.32,1,5,0,2726
280.74,1,6,0,5689
280.57,1,7,0,6990
281.86,1,8,0,5985
284.98,1,9,0,5309
289.18,1,10,0,4603
291.55,1,11,0,4884
294.97,1,12,0,5104
296.38,1,13,0,5178
297.32,1,14,0,5501
298.17,1,15,0,5713
298.06,20,16,0,6292
297.67,20,17,0,6057
296.36,40,18,0,4907
293.85,40,19,0,3503
292.43,40,20,0,3037
291.77,75,21,0,2822
291.36,75,22,0,1992
291.12,75,23,0,1166
290.63,75,0,0,627
290.46,40,1,0,388
289.26,0,3,0,368
283.21,75,5,0,2489
282.24,90,6,0,5537
281.69,90,7,0,6628
280.57,90,8,0,5534
280.02,75,9,0,5403
280.11,75,10,0,4770
280.0,90,11,0,5217
280.53,90,12,0,5870
281.43,75,13,0,5967
281.78,90,14,0,6108
281.91,90,15,0,6128
281.73,90,16,0,6069
281.42,90,17,0,6169
280.87,90,18,0,5384
280.15,90,19,0,4063
279.78,90,20,0,3364
279.65,75,21,0,2971
279.22,40,22,0,2450
279.06,40,23,0,1832
278.81,90,0,1,1231
278.55,90,1,1,718
278.59,90,2,1,545
276.99,75,4,1,411
276.35,20,5,1,688
275.4,1,6,1,1352
275.17,1,7,1,2072
274.99,1,8,1,3342
275.09,40,9,1,4258
276.88,20,10,1,4861
278.04,20,11,1,5191
279.08,40,12,1,5669
280.12,75,13,1,5074
280.25,75,14,1,5025
280.0,75,15,1,5153
279.06,90,16,1,5024
278.91,90,17,1,4779
278.39,90,18,1,4362
278.16,90,19,1,3860
278.16,90,20,1,3160
277.93,90,21,1,2992
276.9,90,22,1,3202
276.34,75,23,1,1941
276.11,75,0,1,1233
275.73,90,3,1,323
275.65,90,4,1,312
275.51,75,5,1,627
275.05,90,6,1,1508
274.77,90,7,1,1539
274.77,75,8,1,2232
275.55,75,9,1,4568
276.24,75,10,1,4624
277.01,90,11,1,4529
277.43,90,12,1,5139
278.45,90,13,1,6640
279.27,90,14,1,6589
279.27,90,15,1,4429
279.44,90,16,1,4329
279.32,90,17,1,3833
279.27,90,18,1,4015
278.11,90,19,1,3382
276.79,75,20,1,2815
275.73,90,21,1,2110
274.88,75,22,1,1555
273.92,20,23,1,959
273.08,20,0,0,455
272.62,20,1,0,336
271.78,1,2,0,265
271.05,1,3,0,314
270.63,1,4,0,779
270.33,1,5,0,2571
269.61,20,6,0,5563
270.01,20,7,0,6676
271.23,20,8,0,5966
273.71,20,9,0,4832
276.77,20,10,0,4395
279.47,20,11,0,4411
279.84,1,12,0,4648
282.34,40,13,0,4602
282.94,40,14,0,5125
283.48,1,15,0,5502
284.33,1,16,0,5979
284.48,40,17,0,5663
284.23,40,18,0,4259
281.99,20,19,0,3069
279.81,1,20,0,2378
279.35,1,21,0,2030
278.9,1,22,0,1400
278.46,1,23,0,917
277.78,1,0,0,515
277.27,1,1,0,302
277.47,1,2,0,251
276.97,20,4,0,798
276.52,40,5,0,2678
276.6,40,6,0,5733
277.31,75,7,0,6449
278.38,90,8,0,5765
279.35,90,9,0,5599
281.37,90,10,0,4534
283.11,90,11,0,4691
284.08,75,12,0,5067
285.14,75,13,0,5030
286.35,90,14,0,5300
287.23,100,15,0,5777
288.53,90,16,0,6349
290.37,90,17,0,6127
290.13,90,18,0,4460
288.86,75,19,0,3418
287.36,90,20,0,2775
285.11,90,21,0,2306
283.46,90,22,0,1846
282.45,90,23,0,947
281.88,90,0,0,494
281.78,90,1,0,332
281.09,75,2,0,261
281.17,90,3,0,361
281.25,92,6,0,5875
281.25,99,7,0,6793
281.25,99,7,0,6793
280.1,99,8,0,6283
280.1,99,8,0,6283
279.61,99,9,0,5680
279.61,99,9,0,5680
279.67,99,10,0,4632
280.19,1,11,0,4887
282.09,75,12,0,5030
282.26,75,13,0,5067
282.05,90,14,0,5227
281.59,90,15,0,5610
281.23,81,16,0,6286
282.6,81,18,0,4775
282.6,81,19,0,3340
282.6,81,20,0,3013
282.6,81,21,0,2603
282.6,81,22,0,1910
282.6,81,23,0,1037
273.9,1,1,0,347
274.4,75,3,0,350
274.05,75,4,0,850
273.71,40,5,0,2791
272.66,1,6,0,5809
272.65,1,7,0,6798
272.52,1,8,0,6304
275.19,20,9,0,5291
275.34,1,10,0,4638
284.1,50,14,0,5557
284.1,50,15,0,5818
283.78,75,16,0,6272
283.52,75,17,0,5944
283.32,90,18,0,4949
282.06,90,19,0,3511
281.95,90,20,0,3039
281.81,90,21,0,2679
282.16,90,22,0,2094
282.53,90,23,0,1284
283.91,90,0,0,630
284.64,90,1,0,410
284.61,90,2,0,331
283.18,72,3,0,372
282.26,72,4,0,739
280.77,72,5,0,2561
278.53,75,6,0,5586
277.64,75,7,0,6992
277.9,90,8,0,5860
278.18,90,9,0,5230
279.29,75,10,0,4864
280.45,75,11,0,5146
280.95,40,12,0,5526
281.74,40,13,0,5383
281.84,75,14,0,5758
282.45,75,15,0,5889
282.2,75,16,0,6057
281.54,40,17,0,6028
280.21,20,18,0,5257
282.2,56,23,0,1897
272.58,1,0,1,1335
272.06,1,1,1,769
270.99,1,2,1,570
270.29,20,3,1,413
269.48,1,4,1,399
269.27,1,5,1,740
268.91,1,6,1,1420
268.98,75,7,1,2220
269.23,40,8,1,3479
272.61,40,9,1,4546
276.78,20,10,1,4579
279.22,1,11,1,4438
280.35,1,12,1,4623
281.81,1,13,1,4440
283.05,1,14,1,4495
283.96,1,15,1,4483
284.53,1,16,1,4591
284.44,1,17,1,4477
283.64,1,18,1,4221
281.85,20,19,1,3672
281.38,1,20,1,3015
281.84,75,21,1,2769
282.23,90,22,1,2875
282.18,90,23,1,1931
282.49,90,0,1,1309
282.54,90,1,1,870
282.58,90,2,1,654
282.23,90,3,1,364
282.08,90,4,1,262
282.23,90,5,1,505
282.24,90,6,1,861
282.24,90,7,1,1132
282.24,57,8,1,1797
282.43,57,9,1,2685
282.43,57,9,1,2685
282.43,57,9,1,2685
282.33,57,10,1,3370
282.33,57,10,1,3370
282.82,57,11,1,3662
282.82,57,11,1,3662
283.33,57,12,1,4076
283.33,57,12,1,4076
283.33,57,12,1,4076
283.75,93,13,1,4128
283.75,93,13,1,4128
283.75,93,13,1,4128
284.09,93,14,1,4358
284.09,93,14,1,4358
284.09,93,14,1,4358
284.55,93,15,1,4342
284.55,93,15,1,4342
284.68,93,16,1,4234
284.64,93,17,1,4271
284.64,93,17,1,4271
284.4,93,18,1,4080
284.17,93,19,1,3453
284.03,93,20,1,2718
283.58,93,21,1,2439
283.04,93,22,1,1819
281.95,93,23,1,1002
281.95,93,23,1,1002
281.61,93,0,0,542
281.61,93,0,0,542
281.57,85,1,0,303
281.42,85,2,0,239
281.29,85,3,0,335
281.29,85,3,0,335
281.02,85,4,0,810
281.02,85,4,0,810
280.82,85,5,0,2606
280.82,85,5,0,2606
280.39,85,6,0,5714
280.19,100,7,0,6798
279.82,100,8,0,6114
279.75,100,9,0,5094
280.07,100,10,0,4473
280.32,90,11,0,4529
281.72,100,12,0,4823
284.01,40,13,0,4872
285.88,1,14,0,5238
286.87,1,15,0,5584
287.6,20,16,0,6246
287.27,20,17,0,5957
286.18,20,18,0,4535
285.2,75,19,0,3234
284.68,75,20,0,2677
284.49,90,21,0,2077
283.54,20,22,0,1380
282.33,75,23,0,927
281.21,20,0,0,500
279.87,1,1,0,324
278.93,1,2,0,257
277.91,1,3,0,354
277.21,1,4,0,769
276.61,1,5,0,2769
276.11,1,6,0,5789
274.81,20,7,0,7055
274.99,20,8,0,6408
277.91,20,9,0,5254
280.71,20,10,0,4547
283.85,20,11,0,4784
286.01,40,12,0,5015
286.31,1,13,0,5057
288.15,75,14,0,5430
289.15,75,15,0,5813
288.99,75,16,0,6496
288.86,75,17,0,6429
288.16,90,18,0,5142
287.28,68,19,0,3311
287.04,90,20,0,2777
286.9,90,21,0,2331
287.09,90,22,0,1767
287.09,90,23,0,1093
286.89,75,0,0,554
286.93,75,1,0,333
286.93,90,2,0,267
287.07,90,3,0,358
286.56,75,4,0,777
285.91,90,5,0,2732
285.29,90,6,0,5637
284.92,75,7,0,5564
285.35,75,8,0,6274
285.72,100,9,0,5403
285.72,100,9,0,5403
287.09,75,10,0,4680
288.31,75,11,0,4642
288.61,1,12,0,4979
290.32,1,13,0,4851
291.36,1,14,0,4291
292.01,1,15,0,4714
292.61,1,16,0,6723
292.65,1,17,0,6180
290.52,40,18,0,4843
288.35,40,19,0,3435
286.72,40,20,0,2921
285.49,40,21,0,2763
284.22,20,22,0,1930
283.8,20,23,0,1160
283.72,20,0,0,654
282.8,40,1,0,374
282.32,99,2,0,301
282.38,99,3,0,397
282.76,90,4,0,794
282.88,99,5,0,2564
284.18,75,6,0,5358
284.69,90,7,0,6441
285.0,90,8,0,5536
286.9,99,9,0,5256
288.35,90,10,0,4619
289.59,90,11,0,5107
288.27,99,12,0,5147
286.41,90,13,0,5283
285.96,90,14,0,5704
287.04,90,15,0,5887
287.18,90,16,0,6307
286.94,90,17,0,5953
286.01,90,18,0,4519
284.67,100,19,0,3427
283.44,100,20,0,2921
282.51,100,21,0,2649
281.9,90,22,0,2005
281.85,90,23,0,1177
281.28,90,0,0,699
280.97,87,1,0,436
280.44,87,2,0,353
280.44,87,2,0,353
280.02,87,3,0,399
279.79,87,4,0,720
279.79,87,4,0,720
279.79,87,4,0,720
279.79,87,4,0,720
279.74,87,5,0,2370
279.74,87,5,0,2370
279.65,87,6,0,5162
279.65,87,6,0,5162
279.65,87,6,0,5162
279.45,91,7,0,5777
279.45,91,7,0,5777
279.22,91,8,0,5235
279.22,91,8,0,5235
279.22,91,8,0,5235
279.35,91,9,0,4606
279.35,91,9,0,4606
279.92,91,10,0,4328
280.44,90,11,0,4282
281.0,90,12,0,4489
281.51,90,13,0,4908
281.93,92,14,0,5620
281.94,92,15,0,5849
281.94,92,15,0,5849
282.27,92,16,0,4945
282.41,92,17,0,4619
282.21,90,18,0,4479
281.69,75,19,0,3804
281.26,90,20,0,2908
280.66,92,21,0,2942
280.43,92,22,0,3077
280.43,92,22,0,3077
280.1,92,23,0,2051
280.1,92,23,0,2051
280.1,92,23,0,2051
280.06,92,0,1,1270
280.06,92,0,1,1270
280.28,96,1,1,773
280.28,96,1,1,773
280.38,96,2,1,589
280.62,96,3,1,432
280.62,96,3,1,432
280.91,96,4,1,401
280.91,96,4,1,401
280.91,96,4,1,401
280.96,96,5,1,759
280.96,96,5,1,759
280.96,96,5,1,759
281.13,96,6,1,1313
281.13,96,6,1,1313
281.13,96,6,1,1313
281.28,100,7,1,1824
281.28,100,7,1,1824
281.28,100,7,1,1824
281.19,100,8,1,2787
281.19,100,8,1,2787
281.19,100,8,1,2787
281.7,100,9,1,3713
281.7,100,9,1,3713
281.7,100,9,1,3713
281.7,100,9,1,3713
282.02,100,10,1,3815
282.02,100,10,1,3815
282.02,100,10,1,3815
282.02,100,10,1,3815
282.35,100,11,1,4339
282.35,100,11,1,4339
282.35,100,11,1,4339
282.71,100,12,1,4613
282.71,100,12,1,4613
282.71,100,12,1,4613
282.71,100,12,1,4613
283.31,48,13,1,4507
283.79,90,14,1,4452
284.2,75,15,1,4636
284.32,90,16,1,4810
284.13,75,17,1,5125
283.14,40,18,1,4337
281.4,40,19,1,3644
280.47,20,20,1,3107
279.52,20,21,1,2929
278.85,48,22,1,2865
278.12,48,23,1,2340
277.94,48,0,1,1372
275.93,60,8,1,1928
275.93,60,8,1,1928
284.09,75,17,1,4695
282.6,75,18,1,4335
281.72,90,22,1,1583
281.26,90,23,1,959
281.29,75,0,0,498
281.01,75,1,0,306
280.57,40,2,0,259
280.54,75,3,0,324
279.37,8,4,0,806
279.18,8,5,0,2622
279.05,8,6,0,5456
282.7,38,10,0,4324
286.17,40,11,0,4378
288.61,75,12,0,4639
290.59,20,13,0,4546
292.21,75,14,0,5006
293.56,75,15,0,5361
293.43,40,16,0,6101
293.4,40,17,0,5781
291.47,20,18,0,4272
289.17,20,19,0,3091
287.28,1,20,0,2434
286.1,1,21,0,1984
285.45,75,22,0,1383
285.33,90,23,0,959
285.07,90,0,0,511
284.58,90,1,0,346
283.88,75,2,0,253
283.55,75,3,0,349
282.85,20,4,0,807
282.42,20,5,0,2669
282.13,75,6,0,5210
281.85,40,7,0,6083
281.85,20,8,0,5790
283.07,75,9,0,5484
284.53,90,10,0,4407
285.6,75,11,0,4725
286.63,90,12,0,4826
286.75,99,13,0,4945
287.97,90,14,0,5065
288.54,99,15,0,5618
288.72,90,16,0,6094
288.53,90,17,0,5844
288.16,90,18,0,4649
287.59,90,19,0,3180
287.21,90,20,0,2963
286.29,90,21,0,2450
285.7,90,22,0,1613
285.61,90,23,0,1021
285.37,99,0,0,580
285.37,99,0,0,580
285.51,90,1,0,298
285.6,100,2,0,261
285.99,100,3,0,408
285.99,100,3,0,408
285.94,100,4,0,793
285.94,100,4,0,793
285.97,90,5,0,2643
285.97,90,5,0,2643
285.97,90,5,0,2643
285.73,90,6,0,5593
285.73,90,6,0,5593
285.73,90,6,0,5593
285.73,90,6,0,5593
285.5,90,7,0,5722
285.5,90,7,0,5722
285.55,90,8,0,5607
285.55,90,8,0,5607
285.55,90,8,0,5607
285.55,90,8,0,5607
285.93,90,9,0,5492
285.93,90,9,0,5492
285.93,90,9,0,5492
286.34,90,10,0,4542
286.82,90,11,0,4720
286.82,90,11,0,4720
288.36,90,12,0,4982
288.36,90,12,0,4982
288.36,90,12,0,4982
289.08,90,13,0,5032
289.08,90,13,0,5032
289.08,90,13,0,5032
289.88,90,14,0,5212
289.88,90,14,0,5212
290.24,90,15,0,5661
290.24,90,15,0,5661
290.24,90,15,0,5661
290.01,90,16,0,5812
289.62,90,17,0,5855
289.62,90,17,0,5855
289.61,90,18,0,4416
289.61,90,18,0,4416
289.06,90,19,0,3118
288.34,75,20,0,2877
288.34,75,20,0,2877
287.06,20,21,0,2498
287.41,75,22,0,1701
287.52,90,23,0,1028
287.81,90,0,0,578
287.29,75,1,0,354
287.23,90,2,0,272
286.44,90,3,0,370
285.32,90,4,0,809
285.32,90,4,0,809
285.43,90,5,0,2641
285.53,75,6,0,4957
285.2,90,7,0,6036
285.2,90,7,0,6036
285.02,90,8,0,5309
286.43,90,10,0,4438
287.36,90,11,0,4723
287.6,90,12,0,4879
287.29,90,13,0,5062
286.41,90,14,0,5450
286.41,90,14,0,5450
286.41,90,14,0,5450
286.41,90,14,0,5450
285.8,90,15,0,5888
285.8,90,15,0,5888
285.8,90,15,0,5888
285.8,90,15,0,5888
285.8,90,15,0,5888
285.29,90,16,0,6473
285.29,90,16,0,6473
285.29,90,16,0,6473
284.77,90,17,0,6488
284.77,90,17,0,6488
284.77,90,17,0,6488
284.29,90,18,0,5351
284.29,90,18,0,5351
284.29,90,18,0,5351
284.29,90,18,0,5351
283.79,90,19,0,3500
283.79,90,19,0,3500
283.79,90,19,0,3500
283.44,90,20,0,2856
283.44,90,20,0,2856
283.44,90,20,0,2856
283.22,90,21,0,2587
283.22,90,21,0,2587
283.22,90,21,0,2587
282.82,90,22,0,1979
282.13,90,23,0,1284
281.05,90,0,0,665
281.05,90,0,0,665
281.05,90,0,0,665
280.44,90,1,0,432
280.44,90,1,0,432
280.07,90,2,0,326
280.07,90,2,0,326
280.07,90,2,0,326
279.54,90,3,0,380
279.54,90,3,0,380
279.54,90,3,0,380
279.54,90,3,0,380
278.93,90,4,0,705
278.93,90,4,0,705
278.93,90,4,0,705
278.93,90,4,0,705
278.93,90,4,0,705
278.27,90,5,0,2430
278.27,90,5,0,2430
278.27,90,5,0,2430
278.27,90,5,0,2430
278.07,90,6,0,5426
278.07,90,6,0,5426
278.07,90,6,0,5426
277.53,90,7,0,6499
277.53,90,7,0,6499
276.23,90,8,0,5856
276.23,90,8,0,5856
276.23,90,8,0,5856
275.66,90,9,0,5234
275.66,90,9,0,5234
275.66,90,9,0,5234
275.02,90,10,0,4695
275.02,90,10,0,4695
275.02,90,10,0,4695
275.02,90,10,0,4695
275.03,90,11,0,5341
275.03,90,11,0,5341
275.03,90,11,0,5341
275.03,90,11,0,5341
274.5,90,12,0,5943
274.5,90,12,0,5943
275.01,90,13,0,5874
275.38,90,14,0,5879
275.38,90,14,0,5879
275.85,90,15,0,6060
276.56,90,16,0,6348
276.7,90,17,0,5955
276.71,90,18,0,5341
276.43,90,19,0,4144
276.23,90,20,0,3249
275.99,75,21,0,3017
276.28,90,22,0,2765
276.28,90,23,0,1894
276.01,90,0,1,1159
275.36,90,1,1,822
274.93,20,2,1,641
274.28,20,3,1,411
274.01,1,4,1,468
273.71,1,5,1,723
273.43,1,6,1,1415
273.65,20,7,1,2191
274.58,75,8,1,3185
275.39,90,9,1,4076
275.44,0,10,1,4522
276.11,90,11,1,6012
276.48,90,12,1,5975
276.5,90,13,1,5307
276.56,90,14,1,4678
276.61,90,15,1,4405
276.9,90,16,1,4403
276.61,90,17,1,4311
276.34,90,18,1,4198
275.96,90,19,1,3475
275.6,90,20,1,3078
274.86,90,21,1,2931
274.05,20,22,1,2941
273.62,20,23,1,2240
273.52,20,0,1,1564
273.54,90,1,1,795
273.63,90,2,1,447
273.63,90,3,1,443
273.22,90,4,1,330
